model,path,exists,filesize_bytes,filesize_mb,loaded,params_count,weights_total,weights_zeros,sparsity_fraction,eval_loss,eval_accuracy,flops_total,inference_time_total_s,inference_time_per_sample_ms,params_ratio_vs_teacher,acc_drop_vs_teacher,speedup_vs_teacher,sparsity_vs_teacher,size_ratio_vs_teacher
student,models/MLP/studentModelMnistMLP.h5,True,62816,0.059906005859375,True,8847,8847,4347,0.491353001017294,0.7140220999717712,0.7894999980926514,,0.6160438060760498,0.06160438060760498,0.9667795869303901,-0.09579998254776001,0.3293607469401577,0.491353001017294,0.4250988035298576
teacher,models/MLP/teacherModelMnistMLP.h5,True,147768,0.14092254638671875,True,9151,9151,0,0.0,0.4036661982536316,0.8852999806404114,,0.20290064811706543,0.020290064811706542,1.0,0.0,1.0,0.0,1.0
